,county,state_x,lat_avg,lng_avg,install_prop,state_y,d_prop,r_prop,d_votes,r_votes
94,Shasta,California,40.57799897438096,-122.29444188163714,0.0001694012323813237,California,0.28903697150440205,0.710963028495598,20256.0,49825.0
95,Smith,Texas,32.31578273904479,-95.30809128634769,8.469315080580609e-06,Texas,0.27017856441026583,0.7298214355897342,20623.0,55708.0
96,Solano,California,38.239935436191466,-122.05758107614271,0.0005647504570867125,California,0.6129947170946071,0.38700528290539293,89694.0,56627.0
97,Sonoma,California,38.41563611103773,-122.73385010346966,0.0005643887993061431,California,0.7226991415452186,0.2773008584547814,152040.0,58338.0
98,Stanislaus,California,37.61897926560835,-120.95050733838416,0.00028937516616936264,California,0.4919380012868619,0.5080619987131381,77220.0,79751.0
99,Sutter,California,39.12500396687452,-121.647848081677,0.0007198679470971903,California,0.36980881130507065,0.6301911886949293,11122.0,18953.0
100,Tarrant,Texas,32.764962329302485,-97.25642676829752,3.6346510083957474e-05,Texas,0.4457928618177911,0.5542071381822089,273814.0,340404.0
101,Taylor,Texas,32.418110591278484,-99.77106593819813,6.402045828934686e-06,Texas,0.22182254196642687,0.7781774580335732,8880.0,31152.0
102,Tehama,California,40.113922431537134,-122.211239296061,0.0,California,0.2754989709472072,0.7245010290527928,5756.0,15137.0
103,Tom Green,Texas,31.451389454454908,-100.45885995583623,4.945121513998403e-06,Texas,0.245075369530221,0.754924630469779,8373.0,25792.0
104,Travis,Texas,30.31551138336884,-97.76164256269226,0.00010877281867418048,Texas,0.6871971873258157,0.3128028126741843,320550.0,145910.0
105,Tulare,California,36.2511785327534,-119.23056864119788,0.0003728108419595436,California,0.4282447800710031,0.5717552199289969,42702.0,57012.0
106,Upshur,Texas,32.703882594020364,-94.87469128966141,0.0,Texas,0.1575823380383641,0.8424176619616359,2177.0,11638.0
107,Ventura,California,34.25087772199771,-119.01852980246636,0.0005165325475247248,California,0.5555379429480917,0.44446205705190833,171729.0,137393.0
108,Victoria,Texas,28.82187113714149,-96.98085217603769,4.194222709870516e-07,Texas,0.2698927134555208,0.7301072865444792,7245.0,19599.0
109,Waller,Texas,30.015111112286803,-95.96695447096184,0.0,Texas,0.35246500304321365,0.6475349969567864,5791.0,10639.0
110,Webb,Texas,27.529262756520534,-99.47759024875864,0.0,Texas,0.6630879980141492,0.3369120019858508,32055.0,16287.0
111,Wichita,Texas,33.920948254601896,-98.55568275865532,5.9958418836536865e-06,Texas,0.2576650414286142,0.7423349585713859,8614.0,24817.0
112,Williamson,Texas,30.57551263950244,-97.70646031067793,4.2068428480800446e-05,Texas,0.44507852988883173,0.5549214701111682,90002.0,112214.0
113,Wise,Texas,33.143810866562205,-97.63013005261554,0.0,Texas,0.13954507603979488,0.8604549239602051,3184.0,19633.0
114,Yolo,California,38.60690467181272,-121.73150822620481,0.000702043712506243,California,0.6781927218209077,0.32180727817909227,49759.0,23611.0
115,Yuba,California,39.16188575249017,-121.48118074166807,0.0004232483109996646,California,0.3596061679516566,0.6403938320483434,6903.0,12293.0
